작업담당부서,원본파일,NO.,전체NO.,기업명,특이사항,사업자등록번호,대표자명,설립일자,업종,상시종업원수,사업장 주소,총자산,,,자기자본,,,매출액,,,영업이익,,,당기순이익,,,자기자본 전액 잠식 여부,"바사등급, 최종등급 수준",특허건수,지원사업,1. 금융테스트베드 비용지원,,,,,,,2. D-테스트베드,,,,,,,3. 책임보험료,,,,,,,4. 핀테크보안,,,,,,,5. 금융클라우드,,,,,,,6. 핀테크 멘토링,,,,,,,7. 큐브(업무공간제공),,,,,,,8. 디지털 금융기술 내재화,,,,,,,9. 해외 진출 컨설팅,,,,,,,10. 해외진출 특화 프로그램(전시),,,,,,,11. 일자리 매칭지원,,,,,,,12. 핀테크 인턴십,,,,,,,13. 지방 핀테크기업 입주지원,,,,,,
창업지원부,편람_2025,59,33,(주)디에스솔루션즈,,853-87-00346,양승화,2015-12-09,그 외 기타 금융 지원 서비스업,17,"서울 서초구 강남대로 331 12층 1201호(서초동,광일빌딩)","13,657","11,950","11,883","4,684","5,085","4,066","5,015","5,183","4,254","2,635","2,738","1,698","1,042",401,-708, - ,E9, - ,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,60,34,크레파스솔루션(주),,371-88-00161,김민정,2015-06-01,데이터베이스 및 온라인 정보제공업,30,서울특별시 종로구 종로1길 42 1208호(수송동),"3,390","2,783","2,674","2,429","1,708","1,322",585,807,525,"-2,531","-2,729","-3,673","-2,150","-1,722","-2,767", - ,E5, - ,5,1,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,63,35,(주)얼리페이,,389-86-02190,장환성,2021-04-21,응용 소프트웨어 개발 및 공급업,8,"서울특별시 영등포구 의사당대로 83 오투타워 서울핀테크랩 4,5,6,8,17,19층(여의도동)",462,846,"1,746",-90,275,236,62,243,569,31,-522,-251,17,-235,-39, - ,E7, - ,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,1,,,,,,,,,
창업지원부,편람_2025,66,36,(주)머니스테이션,,487-88-00961,이정일,2018-02-26,데이터베이스 및 온라인 정보제공업,5,"서울특별시 마포구 마포대로 122 11층,12층(공덕동)",937,"1,450","1,618",183,516,559,566,663,856,60,68,80,32,34,42, - ,E8, - ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,67,37,(주)예스스탁,,120-81-50666,독고준,1991-10-08,컴퓨터 프로그래밍 서비스업,15,"서울 강남구 강남대로62길 7, 2층 (역삼동,혜주빌딩)","3,062","2,299","2,468","3,017","2,253","2,423","1,420","1,599","1,583",228,-699,54,107,-720,212, - ,E1, - ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,68,38,마이오렌지(주),,771-86-02614,-,2022-06-13,응용 소프트웨어 개발 및 공급업,0,"서울 영등포구 의사당대로 83 (여의도동,서울핀테크랩 4,5,6,8,17,19층)", - ,187,442, - ,-120,97, - ,42,26, - ,-341,-159, - ,-321,-83, - ,E8, - ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,69,39,(주)에이젠글로벌,,803-87-00360,강정석,2016-02-15,응용 소프트웨어 개발 및 공급업,28,서울특별시 영등포구 은행로 30 중소기업중앙회 8층 801호(여의도동),"11,021","15,141","18,360","7,519","9,659","11,409","2,885","3,681","4,733",-950,82,462,-592,55,"1,738", - ,E7,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,71,40,루트인프라금융(주),,106-87-04057,-,2014-01-07,기타 발전업,0,-,"1,546",686,"4,594","1,410",373,"4,189",893,536,"1,209",-760,"-1,184",-725,-647,"-1,107",-685, - ,E8, - ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,72,41,(주)엘핀,,317-81-47616,박영경,2017-01-04,시스템 소프트웨어 개발 및 공급업,20,"서울 서초구 강남대로 373 (서초동, 홍우빌딩 12층)","2,161","2,600","3,104","2,104","2,478","2,970",524,"1,190","1,903",-648,-32,163,51,374,491, - ,E1, - ,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,1,,,,,1,,,,,,,,,,,
창업지원부,편람_2025,74,42,(주)온리원,,220-88-21645,최호식,2011-07-12,응용 소프트웨어 개발 및 공급업,5,"경기도 하남시 덕풍동 미사대로 520 D동545호(덕풍동,현대지식산업센터 한강미사2차(25BL))","6,662","6,351","6,868","2,066",-640,571,681,578,865,-189,-407,133,-147,-504,16, - ,E8, - ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,75,43,(주)론포인트,,517-81-00429,-,2016-08-19,그 외 기타 분류 안된 금융업,6,-,"1,258","1,093","1,303",580,788,926,931,"1,159","1,055",40,135,53,-157,209,137, - ,E3, - ,5,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,77,44,(주)포리스지에프에스코리아리미티드,,562-86-01078,-,2018-06-27,그 외 기타 금융 지원 서비스업,3,-,"1,759","1,830", - ,-6,445, - ,14,3, - ,"-1,659","-1,577", - ,"-1,569","-1,559", - , - ,E6, - ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,78,45,(주)스텝페이,,508-87-01464,김단아,2019-09-19,응용 소프트웨어 개발 및 공급업,7,"서울특별시 영등포구 은행로 11 , 2층(여의도동, 일신빌딩)","3,359","4,460","2,668","2,658","3,559","1,847",384,302,"1,537",-400,"-1,302","-1,706",38,"-1,206","-1,713", - ,E5,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,79,46,(주)머리말,"다음의 사유로 불완전한 BASA 보고서가 제공됩니다.
(사유:데이터부족)",524-88-00727,고영진,2017-09-19,기타 게임 소프트웨어 개발 및 공급업,0,"서울특별시 송파구 가락동 중대로 135 (가락동,아이티벤처타워) 서관 10층", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
